EPC,AntnenaId,ChannelIndex,Phase,PeekRssi,Doppler,FirstReadTime,LastReadTime,Timestamp,pading
300833b2ddd9014000000000,1,1,3836,-31,78,1670308013025707,1670308013025707,1670308013025707,
300833b2ddd9014000000000,1,1,3832,-31,78,1670308013030160,1670308013030160,1670308013030160,
300833b2ddd9014000000000,1,1,3840,-31,0,1670308013034278,1670308013034278,1670308013034278,
300833b2ddd9014000000000,1,1,3824,-31,130,1670308013039360,1670308013039360,1670308013039360,
300833b2ddd9014000000000,1,1,3828,-31,104,1670308013045519,1670308013045519,1670308013045519,
300833b2ddd9014000000000,1,1,3836,-31,104,1670308013049259,1670308013049259,1670308013049259,
300833b2ddd9014000000000,1,1,3832,-31,104,1670308013054052,1670308013054052,1670308013054052,
300833b2ddd9014000000000,1,1,3832,-31,104,1670308013060069,1670308013060069,1670308013060069,
300833b2ddd9014000000000,1,1,3836,-31,78,1670308013064480,1670308013064480,1670308013064480,
300833b2ddd9014000000000,1,1,3832,-31,130,1670308013069114,1670308013069114,1670308013069114,
300833b2ddd9014000000000,1,1,3836,-31,104,1670308013074508,1670308013074508,1670308013074508,
300833b2ddd9014000000000,1,1,3836,-31,0,1670308013079831,1670308013079831,1670308013079831,
300833b2ddd9014000000000,1,1,3840,-31,78,1670308013084230,1670308013084230,1670308013084230,
300833b2ddd9014000000000,1,1,3840,-31,78,1670308013089989,1670308013089989,1670308013089989,
300833b2ddd9014000000000,1,1,3840,-31,52,1670308013093434,1670308013093434,1670308013093434,
300833b2ddd9014000000000,1,1,3832,-31,156,1670308013098303,1670308013098303,1670308013098303,
300833b2ddd9014000000000,1,1,3840,-31,156,1670308013103066,1670308013103066,1670308013103066,
300833b2ddd9014000000000,1,1,3828,-31,104,1670308013109092,1670308013109092,1670308013109092,
300833b2ddd9014000000000,1,1,3840,-31,52,1670308013114603,1670308013114603,1670308013114603,
300833b2ddd9014000000000,1,1,3840,-31,104,1670308013119191,1670308013119191,1670308013119191,
300833b2ddd9014000000000,1,1,3840,-31,104,1670308013123344,1670308013123344,1670308013123344,
