EPC,AntnenaId,ChannelIndex,Phase,PeekRssi,Doppler,FirstReadTime,LastReadTime,Timestamp,pading
300833b2ddd9014000000000,1,1,3856,-31,52,1670307939006051,1670307939006051,1670307939006051,
300833b2ddd9014000000000,1,1,3868,-31,130,1670307939010303,1670307939010303,1670307939010303,
300833b2ddd9014000000000,1,1,3856,-31,130,1670307939015073,1670307939015073,1670307939015073,
300833b2ddd9014000000000,1,1,3852,-31,130,1670307939021000,1670307939021000,1670307939021000,
300833b2ddd9014000000000,1,1,3860,-31,78,1670307939026619,1670307939026619,1670307939026619,
300833b2ddd9014000000000,1,1,3872,-31,78,1670307939031066,1670307939031066,1670307939031066,
300833b2ddd9014000000000,1,1,3868,-31,182,1670307939036944,1670307939036944,1670307939036944,
300833b2ddd9014000000000,1,1,3868,-31,130,1670307939043745,1670307939043745,1670307939043745,
300833b2ddd9014000000000,1,1,3864,-31,26,1670307939048183,1670307939048183,1670307939048183,
300833b2ddd9014000000000,1,1,3880,-31,52,1670307939051834,1670307939051834,1670307939051834,
300833b2ddd9014000000000,1,1,3860,-31,78,1670307939058819,1670307939058819,1670307939058819,
300833b2ddd9014000000000,1,1,3876,-31,78,1670307939063908,1670307939063908,1670307939063908,
300833b2ddd9014000000000,1,1,3868,-31,78,1670307939069191,1670307939069191,1670307939069191,
300833b2ddd9014000000000,1,1,3860,-31,78,1670307939074378,1670307939074378,1670307939074378,
300833b2ddd9014000000000,1,1,3876,-31,52,1670307939078632,1670307939078632,1670307939078632,
300833b2ddd9014000000000,1,1,3872,-31,78,1670307939082762,1670307939082762,1670307939082762,
300833b2ddd9014000000000,1,1,3880,-31,130,1670307939090955,1670307939090955,1670307939090955,
300833b2ddd9014000000000,1,1,3864,-31,104,1670307939095581,1670307939095581,1670307939095581,
300833b2ddd9014000000000,1,1,3868,-31,130,1670307939102123,1670307939102123,1670307939102123,
300833b2ddd9014000000000,1,1,3872,-31,78,1670307939106587,1670307939106587,1670307939106587,
300833b2ddd9014000000000,1,1,3880,-31,78,1670307939110213,1670307939110213,1670307939110213,
300833b2ddd9014000000000,1,1,3864,-31,130,1670307939115297,1670307939115297,1670307939115297,
