EPC,AntnenaId,ChannelIndex,Phase,PeekRssi,Doppler,FirstReadTime,LastReadTime,Timestamp,pading
300833b2ddd9014000000000,1,1,3864,-30,104,1670291762499129,1670291762499129,1670291762499129,
300833b2ddd9014000000000,1,1,3860,-30,182,1670291762503092,1670291762503092,1670291762503092,
300833b2ddd9014000000000,1,1,3864,-30,130,1670291762508758,1670291762508758,1670291762508758,
300833b2ddd9014000000000,1,1,3868,-30,156,1670291762513315,1670291762513315,1670291762513315,
300833b2ddd9014000000000,1,1,3880,-30,78,1670291762518234,1670291762518234,1670291762518234,
300833b2ddd9014000000000,1,1,3876,-30,78,1670291762524766,1670291762524766,1670291762524766,
300833b2ddd9014000000000,1,1,3864,-30,130,1670291762528477,1670291762528477,1670291762528477,
300833b2ddd9014000000000,1,1,3876,-31,78,1670291762532940,1670291762532940,1670291762532940,
300833b2ddd9014000000000,1,1,3872,-31,52,1670291762538584,1670291762538584,1670291762538584,
300833b2ddd9014000000000,1,1,3880,-30,78,1670291762543055,1670291762543055,1670291762543055,
300833b2ddd9014000000000,1,1,3884,-30,52,1670291762547881,1670291762547881,1670291762547881,
300833b2ddd9014000000000,1,1,3872,-31,104,1670291762552403,1670291762552403,1670291762552403,
300833b2ddd9014000000000,1,1,3876,-30,104,1670291762558380,1670291762558380,1670291762558380,
300833b2ddd9014000000000,1,1,3872,-31,130,1670291762562666,1670291762562666,1670291762562666,
300833b2ddd9014000000000,1,1,3876,-31,130,1670291762568754,1670291762568754,1670291762568754,
300833b2ddd9014000000000,1,1,3872,-31,130,1670291762574859,1670291762574859,1670291762574859,
300833b2ddd9014000000000,1,1,3876,-31,104,1670291762579088,1670291762579088,1670291762579088,
300833b2ddd9014000000000,1,1,3880,-30,78,1670291762583110,1670291762583110,1670291762583110,
300833b2ddd9014000000000,1,1,3876,-31,156,1670291762588604,1670291762588604,1670291762588604,
300833b2ddd9014000000000,1,1,3872,-30,130,1670291762594370,1670291762594370,1670291762594370,
300833b2ddd9014000000000,1,1,3872,-31,156,1670291762598484,1670291762598484,1670291762598484,
300833b2ddd9014000000000,1,1,3876,-31,104,1670291762603089,1670291762603089,1670291762603089,
300833b2ddd9014000000000,1,1,3880,-31,104,1670291762608138,1670291762608138,1670291762608138,
300833b2ddd9014000000000,1,1,3876,-31,130,1670291762614566,1670291762614566,1670291762614566,
300833b2ddd9014000000000,1,1,3884,-30,104,1670291762618393,1670291762618393,1670291762618393,
300833b2ddd9014000000000,1,1,3884,-30,78,1670291762625194,1670291762625194,1670291762625194,
300833b2ddd9014000000000,1,1,3880,-31,130,1670291762630608,1670291762630608,1670291762630608,
300833b2ddd9014000000000,1,1,3876,-31,78,1670291762634828,1670291762634828,1670291762634828,
300833b2ddd9014000000000,1,1,3880,-30,104,1670291762639720,1670291762639720,1670291762639720,
300833b2ddd9014000000000,1,1,3876,-31,78,1670291762645208,1670291762645208,1670291762645208,
300833b2ddd9014000000000,1,1,3876,-31,104,1670291762649814,1670291762649814,1670291762649814,
300833b2ddd9014000000000,1,1,3884,-31,52,1670291762654632,1670291762654632,1670291762654632,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291762660689,1670291762660689,1670291762660689,
300833b2ddd9014000000000,1,1,3880,-30,156,1670291762665809,1670291762665809,1670291762665809,
300833b2ddd9014000000000,1,1,3888,-30,78,1670291762671382,1670291762671382,1670291762671382,
300833b2ddd9014000000000,1,1,3880,-31,78,1670291762676507,1670291762676507,1670291762676507,
300833b2ddd9014000000000,1,1,3872,-31,156,1670291762681215,1670291762681215,1670291762681215,
300833b2ddd9014000000000,1,1,3880,-30,104,1670291762685432,1670291762685432,1670291762685432,
300833b2ddd9014000000000,1,1,3892,-31,0,1670291762691272,1670291762691272,1670291762691272,
300833b2ddd9014000000000,1,1,3888,-31,52,1670291762694416,1670291762694416,1670291762694416,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291762700297,1670291762700297,1670291762700297,
300833b2ddd9014000000000,1,1,3884,-31,78,1670291762705880,1670291762705880,1670291762705880,
300833b2ddd9014000000000,1,1,3880,-31,104,1670291762710516,1670291762710516,1670291762710516,
300833b2ddd9014000000000,1,1,3876,-31,130,1670291762715649,1670291762715649,1670291762715649,
300833b2ddd9014000000000,1,1,3872,-31,182,1670291762720411,1670291762720411,1670291762720411,
300833b2ddd9014000000000,1,1,3888,-30,78,1670291762724987,1670291762724987,1670291762724987,
300833b2ddd9014000000000,1,1,3880,-31,130,1670291762729706,1670291762729706,1670291762729706,
300833b2ddd9014000000000,1,1,3880,-31,130,1670291762735649,1670291762735649,1670291762735649,
300833b2ddd9014000000000,1,1,3888,-31,104,1670291762741511,1670291762741511,1670291762741511,
300833b2ddd9014000000000,1,1,3880,-31,182,1670291762746577,1670291762746577,1670291762746577,
300833b2ddd9014000000000,1,1,3880,-30,104,1670291762749551,1670291762749551,1670291762749551,
300833b2ddd9014000000000,1,1,3880,-31,104,1670291762755712,1670291762755712,1670291762755712,
300833b2ddd9014000000000,1,1,3884,-31,130,1670291762759574,1670291762759574,1670291762759574,
300833b2ddd9014000000000,1,1,3880,-31,104,1670291762764696,1670291762764696,1670291762764696,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291762769414,1670291762769414,1670291762769414,
300833b2ddd9014000000000,1,1,3880,-30,130,1670291762775690,1670291762775690,1670291762775690,
300833b2ddd9014000000000,1,1,3880,-31,78,1670291762780367,1670291762780367,1670291762780367,
300833b2ddd9014000000000,1,1,3880,-31,130,1670291762784841,1670291762784841,1670291762784841,
300833b2ddd9014000000000,1,1,3892,-31,78,1670291762789312,1670291762789312,1670291762789312,
300833b2ddd9014000000000,1,1,3888,-31,130,1670291762795777,1670291762795777,1670291762795777,
300833b2ddd9014000000000,1,1,3880,-30,130,1670291762799521,1670291762799521,1670291762799521,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291762805152,1670291762805152,1670291762805152,
300833b2ddd9014000000000,1,1,3888,-31,78,1670291762810240,1670291762810240,1670291762810240,
300833b2ddd9014000000000,1,1,3880,-31,104,1670291762815733,1670291762815733,1670291762815733,
300833b2ddd9014000000000,1,1,3880,-31,182,1670291762819856,1670291762819856,1670291762819856,
300833b2ddd9014000000000,1,1,3884,-31,130,1670291762824762,1670291762824762,1670291762824762,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291762829955,1670291762829955,1670291762829955,
300833b2ddd9014000000000,1,1,3880,-31,52,1670291762834515,1670291762834515,1670291762834515,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291762839581,1670291762839581,1670291762839581,
300833b2ddd9014000000000,1,1,3880,-31,52,1670291762844743,1670291762844743,1670291762844743,
300833b2ddd9014000000000,1,1,3884,-30,104,1670291762850353,1670291762850353,1670291762850353,
300833b2ddd9014000000000,1,1,3892,-31,78,1670291762854061,1670291762854061,1670291762854061,
300833b2ddd9014000000000,1,1,3876,-31,247,1670291762859140,1670291762859140,1670291762859140,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291762863643,1670291762863643,1670291762863643,
300833b2ddd9014000000000,1,1,3880,-31,104,1670291762868559,1670291762868559,1670291762868559,
300833b2ddd9014000000000,1,1,3884,-31,78,1670291762875791,1670291762875791,1670291762875791,
300833b2ddd9014000000000,1,1,3888,-31,52,1670291762880878,1670291762880878,1670291762880878,
300833b2ddd9014000000000,1,1,3892,-31,78,1670291762884241,1670291762884241,1670291762884241,
300833b2ddd9014000000000,1,1,3880,-31,130,1670291762890434,1670291762890434,1670291762890434,
300833b2ddd9014000000000,1,1,3884,-31,130,1670291762895210,1670291762895210,1670291762895210,
300833b2ddd9014000000000,1,1,3884,-31,130,1670291762899185,1670291762899185,1670291762899185,
300833b2ddd9014000000000,1,1,3888,-30,78,1670291762904407,1670291762904407,1670291762904407,
300833b2ddd9014000000000,1,1,3888,-31,104,1670291762909023,1670291762909023,1670291762909023,
300833b2ddd9014000000000,1,1,3880,-31,156,1670291762913850,1670291762913850,1670291762913850,
300833b2ddd9014000000000,1,1,3884,-31,130,1670291762918729,1670291762918729,1670291762918729,
300833b2ddd9014000000000,1,1,3888,-31,78,1670291762924360,1670291762924360,1670291762924360,
300833b2ddd9014000000000,1,1,3880,-31,156,1670291762929703,1670291762929703,1670291762929703,
300833b2ddd9014000000000,1,1,3880,-31,130,1670291762933675,1670291762933675,1670291762933675,
300833b2ddd9014000000000,1,1,3888,-31,26,1670291762939413,1670291762939413,1670291762939413,
300833b2ddd9014000000000,1,1,3880,-31,156,1670291762944887,1670291762944887,1670291762944887,
300833b2ddd9014000000000,1,1,3884,-31,78,1670291762949469,1670291762949469,1670291762949469,
300833b2ddd9014000000000,1,1,3892,-30,78,1670291762955005,1670291762955005,1670291762955005,
300833b2ddd9014000000000,1,1,3892,-31,78,1670291762960531,1670291762960531,1670291762960531,
300833b2ddd9014000000000,1,1,3888,-31,104,1670291762964064,1670291762964064,1670291762964064,
300833b2ddd9014000000000,1,1,3880,-31,130,1670291762970127,1670291762970127,1670291762970127,
300833b2ddd9014000000000,1,1,3880,-31,130,1670291762973404,1670291762973404,1670291762973404,
300833b2ddd9014000000000,1,1,3884,-31,78,1670291762980018,1670291762980018,1670291762980018,
300833b2ddd9014000000000,1,1,3888,-31,104,1670291762984205,1670291762984205,1670291762984205,
300833b2ddd9014000000000,1,1,3892,-31,78,1670291762988308,1670291762988308,1670291762988308,
300833b2ddd9014000000000,1,1,3888,-31,104,1670291762994508,1670291762994508,1670291762994508,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291762998749,1670291762998749,1670291762998749,
300833b2ddd9014000000000,1,1,3880,-31,130,1670291763004089,1670291763004089,1670291763004089,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291763008012,1670291763008012,1670291763008012,
300833b2ddd9014000000000,1,1,3888,-30,130,1670291763012788,1670291763012788,1670291763012788,
300833b2ddd9014000000000,1,1,3884,-30,26,1670291763017673,1670291763017673,1670291763017673,
300833b2ddd9014000000000,1,1,3880,-31,104,1670291763022707,1670291763022707,1670291763022707,
300833b2ddd9014000000000,1,1,3880,-31,130,1670291763027788,1670291763027788,1670291763027788,
300833b2ddd9014000000000,1,1,3892,-31,52,1670291763033380,1670291763033380,1670291763033380,
300833b2ddd9014000000000,1,1,3888,-31,130,1670291763037922,1670291763037922,1670291763037922,
300833b2ddd9014000000000,1,1,3888,-31,130,1670291763042566,1670291763042566,1670291763042566,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291763047776,1670291763047776,1670291763047776,
300833b2ddd9014000000000,1,1,3892,-31,78,1670291763053968,1670291763053968,1670291763053968,
300833b2ddd9014000000000,1,1,3880,-31,104,1670291763057989,1670291763057989,1670291763057989,
300833b2ddd9014000000000,1,1,3888,-31,52,1670291763062120,1670291763062120,1670291763062120,
300833b2ddd9014000000000,1,1,3880,-31,130,1670291763067898,1670291763067898,1670291763067898,
300833b2ddd9014000000000,1,1,3892,-30,78,1670291763072901,1670291763072901,1670291763072901,
300833b2ddd9014000000000,1,1,3888,-31,104,1670291763077399,1670291763077399,1670291763077399,
300833b2ddd9014000000000,1,1,3880,-30,156,1670291763082523,1670291763082523,1670291763082523,
300833b2ddd9014000000000,1,1,3888,-31,78,1670291763087595,1670291763087595,1670291763087595,
300833b2ddd9014000000000,1,1,3884,-31,130,1670291763092625,1670291763092625,1670291763092625,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291763097756,1670291763097756,1670291763097756,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291763102753,1670291763102753,1670291763102753,
300833b2ddd9014000000000,1,1,3884,-31,104,1670291763109544,1670291763109544,1670291763109544,
300833b2ddd9014000000000,1,1,3880,-31,156,1670291763114271,1670291763114271,1670291763114271,
