EPC,AntnenaId,ChannelIndex,Phase,PeekRssi,Doppler,FirstReadTime,LastReadTime,Timestamp,pading
300833b2ddd9014000000000,1,1,3884,-30,52,1670384239319329,1670384239319329,1670384239319329,
300833b2ddd9014000000000,1,1,3884,-30,52,1670384239326158,1670384239326158,1670384239326158,
300833b2ddd9014000000000,1,1,3852,-30,104,1670384239328979,1670384239328979,1670384239328979,
300833b2ddd9014000000000,1,1,3876,-30,78,1670384239334922,1670384239334922,1670384239334922,
300833b2ddd9014000000000,1,1,3852,-30,104,1670384239343312,1670384239343312,1670384239343312,
300833b2ddd9014000000000,1,1,3876,-30,104,1670384239345947,1670384239345947,1670384239345947,
300833b2ddd9014000000000,1,1,3860,-30,78,1670384239351184,1670384239351184,1670384239351184,
300833b2ddd9014000000000,1,1,3852,-30,104,1670384239357737,1670384239357737,1670384239357737,
300833b2ddd9014000000000,1,1,3892,-30,104,1670384239362234,1670384239362234,1670384239362234,
300833b2ddd9014000000000,1,1,3880,-31,130,1670384239368223,1670384239368223,1670384239368223,
300833b2ddd9014000000000,1,1,3848,-30,130,1670384239372365,1670384239372365,1670384239372365,
300833b2ddd9014000000000,1,1,3880,-30,78,1670384239378092,1670384239378092,1670384239378092,
300833b2ddd9014000000000,1,1,3884,-30,104,1670384239382636,1670384239382636,1670384239382636,
300833b2ddd9014000000000,1,1,3876,-30,130,1670384239389763,1670384239389763,1670384239389763,
300833b2ddd9014000000000,1,1,3860,-30,104,1670384239394805,1670384239394805,1670384239394805,
300833b2ddd9014000000000,1,1,3860,-30,104,1670384239400147,1670384239400147,1670384239400147,
300833b2ddd9014000000000,1,1,3888,-30,130,1670384239406048,1670384239406048,1670384239406048,
300833b2ddd9014000000000,1,1,3848,-30,221,1670384239410301,1670384239410301,1670384239410301,
300833b2ddd9014000000000,1,1,3856,-30,130,1670384239416370,1670384239416370,1670384239416370,
300833b2ddd9014000000000,1,1,3884,-30,78,1670384239421576,1670384239421576,1670384239421576,
300833b2ddd9014000000000,1,1,3868,-30,52,1670384239425012,1670384239425012,1670384239425012,
300833b2ddd9014000000000,1,1,3860,-30,78,1670384239430141,1670384239430141,1670384239430141,
300833b2ddd9014000000000,1,1,3868,-30,130,1670384239436824,1670384239436824,1670384239436824,
300833b2ddd9014000000000,1,1,3864,-30,156,1670384239439708,1670384239439708,1670384239439708,
300833b2ddd9014000000000,1,1,3856,-30,104,1670384239445574,1670384239445574,1670384239445574,
300833b2ddd9014000000000,1,1,3888,-30,26,1670384239450621,1670384239450621,1670384239450621,
300833b2ddd9014000000000,1,1,3884,-30,78,1670384239455617,1670384239455617,1670384239455617,
300833b2ddd9014000000000,1,1,3868,-30,182,1670384239461731,1670384239461731,1670384239461731,
300833b2ddd9014000000000,1,1,3868,-30,104,1670384239465810,1670384239465810,1670384239465810,
300833b2ddd9014000000000,1,1,3868,-30,104,1670384239472211,1670384239472211,1670384239472211,
300833b2ddd9014000000000,1,1,3884,-31,130,1670384239476983,1670384239476983,1670384239476983,
300833b2ddd9014000000000,1,1,3856,-30,156,1670384239482067,1670384239482067,1670384239482067,
300833b2ddd9014000000000,1,1,3876,-30,52,1670384239486615,1670384239486615,1670384239486615,
300833b2ddd9014000000000,1,1,3892,-30,130,1670384239492618,1670384239492618,1670384239492618,
300833b2ddd9014000000000,1,1,3864,-30,247,1670384239498130,1670384239498130,1670384239498130,
300833b2ddd9014000000000,1,1,3860,-30,78,1670384239502728,1670384239502728,1670384239502728,
300833b2ddd9014000000000,1,1,3872,-30,78,1670384239509428,1670384239509428,1670384239509428,
300833b2ddd9014000000000,1,1,3884,-31,78,1670384239513460,1670384239513460,1670384239513460,
300833b2ddd9014000000000,1,1,3860,-30,104,1670384239518488,1670384239518488,1670384239518488,
300833b2ddd9014000000000,1,1,3864,-30,104,1670384239524747,1670384239524747,1670384239524747,
300833b2ddd9014000000000,1,1,3884,-30,130,1670384239529097,1670384239529097,1670384239529097,
300833b2ddd9014000000000,1,1,3872,-30,0,1670384239534031,1670384239534031,1670384239534031,
300833b2ddd9014000000000,1,1,3860,-30,130,1670384239540055,1670384239540055,1670384239540055,
300833b2ddd9014000000000,1,1,3868,-30,78,1670384239544934,1670384239544934,1670384239544934,
300833b2ddd9014000000000,1,1,3900,-31,78,1670384239549961,1670384239549961,1670384239549961,
300833b2ddd9014000000000,1,1,3876,-30,130,1670384239556476,1670384239556476,1670384239556476,
300833b2ddd9014000000000,1,1,3864,-30,78,1670384239560417,1670384239560417,1670384239560417,
300833b2ddd9014000000000,1,1,3884,-30,104,1670384239566293,1670384239566293,1670384239566293,
300833b2ddd9014000000000,1,1,3860,-30,104,1670384239569096,1670384239569096,1670384239569096,
300833b2ddd9014000000000,1,1,3868,-30,26,1670384239574197,1670384239574197,1670384239574197,
300833b2ddd9014000000000,1,1,3896,-31,52,1670384239579034,1670384239579034,1670384239579034,
300833b2ddd9014000000000,1,1,3856,-30,130,1670384239583615,1670384239583615,1670384239583615,
300833b2ddd9014000000000,1,1,3860,-30,78,1670384239590374,1670384239590374,1670384239590374,
300833b2ddd9014000000000,1,1,3892,-30,26,1670384239594869,1670384239594869,1670384239594869,
300833b2ddd9014000000000,1,1,3872,-30,130,1670384239599634,1670384239599634,1670384239599634,
300833b2ddd9014000000000,1,1,3860,-30,104,1670384239603390,1670384239603390,1670384239603390,
300833b2ddd9014000000000,1,1,3880,-30,78,1670384239610208,1670384239610208,1670384239610208,
300833b2ddd9014000000000,1,1,3884,-30,130,1670384239614682,1670384239614682,1670384239614682,
300833b2ddd9014000000000,1,1,3860,-30,78,1670384239619219,1670384239619219,1670384239619219,
300833b2ddd9014000000000,1,1,3880,-30,78,1670384239624643,1670384239624643,1670384239624643,
300833b2ddd9014000000000,1,1,3872,-30,104,1670384239631310,1670384239631310,1670384239631310,
300833b2ddd9014000000000,1,1,3896,-30,130,1670384239637133,1670384239637133,1670384239637133,
300833b2ddd9014000000000,1,1,3868,-30,78,1670384239640149,1670384239640149,1670384239640149,
300833b2ddd9014000000000,1,1,3892,-30,104,1670384239644504,1670384239644504,1670384239644504,
300833b2ddd9014000000000,1,1,3876,-31,156,1670384239650393,1670384239650393,1670384239650393,
300833b2ddd9014000000000,1,1,3860,-30,78,1670384239655146,1670384239655146,1670384239655146,
300833b2ddd9014000000000,1,1,3888,-30,104,1670384239659433,1670384239659433,1670384239659433,
300833b2ddd9014000000000,1,1,3884,-30,156,1670384239665635,1670384239665635,1670384239665635,
300833b2ddd9014000000000,1,1,3868,-30,78,1670384239669378,1670384239669378,1670384239669378,
300833b2ddd9014000000000,1,1,3880,-30,52,1670384239674726,1670384239674726,1670384239674726,
300833b2ddd9014000000000,1,1,3888,-30,78,1670384239680956,1670384239680956,1670384239680956,
300833b2ddd9014000000000,1,1,3860,-30,130,1670384239684862,1670384239684862,1670384239684862,
300833b2ddd9014000000000,1,1,3876,-30,52,1670384239689546,1670384239689546,1670384239689546,
300833b2ddd9014000000000,1,1,3876,-31,130,1670384239694165,1670384239694165,1670384239694165,
300833b2ddd9014000000000,1,1,3864,-30,104,1670384239698907,1670384239698907,1670384239698907,
300833b2ddd9014000000000,1,1,3860,-30,78,1670384239705961,1670384239705961,1670384239705961,
300833b2ddd9014000000000,1,1,3880,-31,130,1670384239708549,1670384239708549,1670384239708549,
300833b2ddd9014000000000,1,1,3864,-30,104,1670384239714952,1670384239714952,1670384239714952,
300833b2ddd9014000000000,1,1,3864,-30,78,1670384239719490,1670384239719490,1670384239719490,
300833b2ddd9014000000000,1,1,3888,-30,182,1670384239723698,1670384239723698,1670384239723698,
300833b2ddd9014000000000,1,1,3868,-30,247,1670384239730429,1670384239730429,1670384239730429,
300833b2ddd9014000000000,1,1,3860,-30,78,1670384239734685,1670384239734685,1670384239734685,
300833b2ddd9014000000000,1,1,3888,-30,156,1670384239739281,1670384239739281,1670384239739281,
300833b2ddd9014000000000,1,1,3872,-30,156,1670384239744660,1670384239744660,1670384239744660,
300833b2ddd9014000000000,1,1,3864,-30,78,1670384239748783,1670384239748783,1670384239748783,
300833b2ddd9014000000000,1,1,3884,-30,78,1670384239754953,1670384239754953,1670384239754953,
300833b2ddd9014000000000,1,1,3876,-30,130,1670384239759212,1670384239759212,1670384239759212,
300833b2ddd9014000000000,1,1,3856,-30,104,1670384239764344,1670384239764344,1670384239764344,
300833b2ddd9014000000000,1,1,3864,-30,130,1670384239770215,1670384239770215,1670384239770215,
300833b2ddd9014000000000,1,1,3880,-30,104,1670384239775718,1670384239775718,1670384239775718,
300833b2ddd9014000000000,1,1,3860,-30,78,1670384239779022,1670384239779022,1670384239779022,
300833b2ddd9014000000000,1,1,3880,-30,78,1670384239784177,1670384239784177,1670384239784177,
300833b2ddd9014000000000,1,1,3872,-30,130,1670384239788208,1670384239788208,1670384239788208,
300833b2ddd9014000000000,1,1,3884,-31,104,1670384239795799,1670384239795799,1670384239795799,
300833b2ddd9014000000000,1,1,3876,-30,52,1670384239799200,1670384239799200,1670384239799200,
300833b2ddd9014000000000,1,1,3868,-30,78,1670384239805639,1670384239805639,1670384239805639,
300833b2ddd9014000000000,1,1,3868,-30,156,1670384239809323,1670384239809323,1670384239809323,
300833b2ddd9014000000000,1,1,3856,-30,156,1670384239815859,1670384239815859,1670384239815859,
300833b2ddd9014000000000,1,1,3872,-30,78,1670384239820034,1670384239820034,1670384239820034,
300833b2ddd9014000000000,1,1,3880,-31,221,1670384239825366,1670384239825366,1670384239825366,
300833b2ddd9014000000000,1,1,3868,-30,104,1670384239831132,1670384239831132,1670384239831132,
300833b2ddd9014000000000,1,1,3868,-30,52,1670384239835128,1670384239835128,1670384239835128,
300833b2ddd9014000000000,1,1,3896,-30,78,1670384239840754,1670384239840754,1670384239840754,
300833b2ddd9014000000000,1,1,3876,-31,221,1670384239846642,1670384239846642,1670384239846642,
300833b2ddd9014000000000,1,1,3860,-30,130,1670384239852014,1670384239852014,1670384239852014,
300833b2ddd9014000000000,1,1,3864,-30,156,1670384239856816,1670384239856816,1670384239856816,
300833b2ddd9014000000000,1,1,3892,-31,52,1670384239861572,1670384239861572,1670384239861572,
300833b2ddd9014000000000,1,1,3856,-30,78,1670384239866062,1670384239866062,1670384239866062,
300833b2ddd9014000000000,1,1,3860,-30,182,1670384239871466,1670384239871466,1670384239871466,
300833b2ddd9014000000000,1,1,3880,-30,104,1670384239875143,1670384239875143,1670384239875143,
300833b2ddd9014000000000,1,1,3888,-31,78,1670384239882939,1670384239882939,1670384239882939,
300833b2ddd9014000000000,1,1,3860,-30,78,1670384239888252,1670384239888252,1670384239888252,
300833b2ddd9014000000000,1,1,3864,-30,78,1670384239893322,1670384239893322,1670384239893322,
300833b2ddd9014000000000,1,1,3900,-30,0,1670384239898400,1670384239898400,1670384239898400,
300833b2ddd9014000000000,1,1,3872,-30,52,1670384239903621,1670384239903621,1670384239903621,
