EPC,AntnenaId,ChannelIndex,Phase,PeekRssi,Doppler,FirstReadTime,LastReadTime,Timestamp,pading
300833b2ddd9014000000000,1,1,3864,-30,104,1670291899339401,1670291899339401,1670291899339401,
300833b2ddd9014000000000,1,1,3864,-30,104,1670291899344500,1670291899344500,1670291899344500,
300833b2ddd9014000000000,1,1,3860,-30,104,1670291899348320,1670291899348320,1670291899348320,
300833b2ddd9014000000000,1,1,3868,-30,26,1670291899353180,1670291899353180,1670291899353180,
300833b2ddd9014000000000,1,1,3868,-30,78,1670291899358735,1670291899358735,1670291899358735,
300833b2ddd9014000000000,1,1,3864,-30,52,1670291899363612,1670291899363612,1670291899363612,
300833b2ddd9014000000000,1,1,3860,-30,130,1670291899368311,1670291899368311,1670291899368311,
300833b2ddd9014000000000,1,1,3860,-30,156,1670291899372876,1670291899372876,1670291899372876,
300833b2ddd9014000000000,1,1,3856,-30,52,1670291899380491,1670291899380491,1670291899380491,
300833b2ddd9014000000000,1,1,3864,-30,104,1670291899385521,1670291899385521,1670291899385521,
300833b2ddd9014000000000,1,1,3864,-30,104,1670291899389497,1670291899389497,1670291899389497,
300833b2ddd9014000000000,1,1,3868,-30,182,1670291899396213,1670291899396213,1670291899396213,
300833b2ddd9014000000000,1,1,3868,-30,130,1670291899399611,1670291899399611,1670291899399611,
300833b2ddd9014000000000,1,1,3864,-30,104,1670291899404446,1670291899404446,1670291899404446,
300833b2ddd9014000000000,1,1,3860,-30,104,1670291899409936,1670291899409936,1670291899409936,
300833b2ddd9014000000000,1,1,3864,-30,130,1670291899414080,1670291899414080,1670291899414080,
300833b2ddd9014000000000,1,1,3868,-30,78,1670291899419157,1670291899419157,1670291899419157,
300833b2ddd9014000000000,1,1,3864,-30,78,1670291899423970,1670291899423970,1670291899423970,
300833b2ddd9014000000000,1,1,3868,-30,104,1670291899428819,1670291899428819,1670291899428819,
300833b2ddd9014000000000,1,1,3868,-30,130,1670291899434779,1670291899434779,1670291899434779,
300833b2ddd9014000000000,1,1,3876,-30,104,1670291899437730,1670291899437730,1670291899437730,
300833b2ddd9014000000000,1,1,3868,-30,78,1670291899443839,1670291899443839,1670291899443839,
300833b2ddd9014000000000,1,1,3864,-30,130,1670291899448974,1670291899448974,1670291899448974,
300833b2ddd9014000000000,1,1,3868,-30,130,1670291899454334,1670291899454334,1670291899454334,
300833b2ddd9014000000000,1,1,3872,-30,52,1670291899459638,1670291899459638,1670291899459638,
300833b2ddd9014000000000,1,1,3876,-30,104,1670291899465046,1670291899465046,1670291899465046,
300833b2ddd9014000000000,1,1,3876,-30,130,1670291899470100,1670291899470100,1670291899470100,
300833b2ddd9014000000000,1,1,3876,-30,26,1670291899474041,1670291899474041,1670291899474041,
300833b2ddd9014000000000,1,1,3872,-30,78,1670291899480628,1670291899480628,1670291899480628,
300833b2ddd9014000000000,1,1,3872,-30,130,1670291899484767,1670291899484767,1670291899484767,
300833b2ddd9014000000000,1,1,3876,-30,52,1670291899488756,1670291899488756,1670291899488756,
300833b2ddd9014000000000,1,1,3872,-30,130,1670291899493827,1670291899493827,1670291899493827,
300833b2ddd9014000000000,1,1,3880,-30,26,1670291899498174,1670291899498174,1670291899498174,
300833b2ddd9014000000000,1,1,3880,-30,104,1670291899503682,1670291899503682,1670291899503682,
300833b2ddd9014000000000,1,1,3880,-30,104,1670291899507870,1670291899507870,1670291899507870,
